Id,Name,LandfallDate,MaxWindSpeed
AL061900,UNNAMED,10/12/1900,40
AL011901,UNNAMED,06/13/1901,35
AL041901,UNNAMED,08/10/1901,80
AL081901,UNNAMED,09/17/1901,70
AL101901,UNNAMED,09/28/1901,45
AL011902,UNNAMED,06/14/1902,50
AL041902,UNNAMED,10/10/1902,90
AL031903,UNNAMED,09/13/1903,80
AL041904,UNNAMED,10/20/1904,70
AL061904,UNNAMED,11/03/1904,45
AL011906,UNNAMED,06/12/1906,45
AL021906,UNNAMED,06/17/1906,90
AL081906,UNNAMED,10/21/1906,105
AL011907,UNNAMED,06/28/1907,55
AL031907,UNNAMED,09/28/1907,45
AL031909,UNNAMED,06/30/1909,45
AL081909,UNNAMED,08/29/1909,45
AL111909,UNNAMED,10/11/1909,105
AL051910,UNNAMED,10/18/1910,130
AL011914,UNNAMED,09/17/1914,60
AL011915,UNNAMED,08/01/1915,65
AL041915,UNNAMED,09/04/1915,85
AL011916,UNNAMED,05/14/1916,50
AL071916,UNNAMED,08/25/1916,95
AL041917,UNNAMED,09/29/1917,130
AL011919,UNNAMED,07/04/1919,55
AL021919,UNNAMED,09/10/1919,130
AL051920,UNNAMED,09/30/1920,75
AL061921,UNNAMED,10/25/1921,120
AL051924,UNNAMED,09/15/1924,75
AL081924,UNNAMED,09/29/1924,65
AL101924,UNNAMED,10/21/1924,145
AL041925,UNNAMED,12/01/1925,80
AL011926,UNNAMED,07/28/1926,120
AL071926,UNNAMED,09/18/1926,130
AL011928,UNNAMED,08/10/1928,90
AL021928,UNNAMED,08/14/1928,80
AL021929,UNNAMED,10/01/1929,135
AL021930,UNNAMED,09/09/1930,135
AL031932,UNNAMED,08/30/1932,75
AL061932,UNNAMED,09/15/1932,65
AL051933,UNNAMED,07/30/1933,80
AL111933,UNNAMED,09/05/1933,120
AL031935,UNNAMED,09/04/1935,160
AL071935,UNNAMED,11/04/1935,90
AL011936,UNNAMED,06/15/1936,40
AL051936,UNNAMED,07/31/1936,90
AL091936,UNNAMED,08/21/1936,50
AL011937,UNNAMED,07/29/1937,60
AL031937,UNNAMED,08/30/1937,60
AL071937,UNNAMED,09/20/1937,50
AL021939,UNNAMED,08/13/1939,65
AL051941,UNNAMED,10/07/1941,105
AL061941,UNNAMED,10/20/1941,45
AL131944,UNNAMED,10/19/1944,125
AL011945,UNNAMED,06/24/1945,85
AL071945,UNNAMED,09/05/1945,35
AL091945,UNNAMED,09/15/1945,115
AL061946,UNNAMED,10/08/1946,85
AL071946,UNNAMED,11/01/1946,40
AL041947,UNNAMED,09/17/1947,125
AL061947,UNNAMED,09/23/1947,55
AL071947,UNNAMED,10/07/1947,50
AL091947,UNNAMED,10/12/1947,90
AL021948,UNNAMED,07/09/1948,35
AL081948,UNNAMED,09/22/1948,115
AL091948,UNNAMED,10/05/1948,110
AL051950,EASY,09/06/1950,105
AL111950,KING,10/18/1950,115
AL131950,LOVE,10/21/1950,70
AL091951,HOW,10/02/1951,85
AL011953,ALICE,06/06/1953,60
AL081953,UNNAMED,09/20/1953,45
AL091953,FLORENCE,09/26/1953,100
AL121953,HAZEL,10/09/1953,75
AL071956,FLOSSY,09/25/1956,80
AL111956,UNNAMED,10/15/1956,55
AL011957,UNNAMED,06/09/1957,65
AL051957,DEBBIE,09/08/1957,35
AL031959,UNNAMED,06/18/1959,75
AL111959,JUDITH,10/18/1959,75
AL031960,BRENDA,07/29/1960,60
AL051960,DONNA,09/10/1960,125
AL051964,CLEO,08/27/1964,130
AL061964,DORA,09/10/1964,115
AL111964,ISBELL,10/14/1964,100
AL011965,UNNAMED,06/15/1965,50
AL031965,BETSY,09/08/1965,120
AL091965,UNNAMED,10/18/1965,55
AL011966,ALMA,06/09/1966,100
AL091966,INEZ,10/05/1966,140
AL121966,UNNAMED,07/01/1966,40
AL011968,ABBY,06/06/1968,65
AL141968,GLADYS,10/19/1968,85
AL231969,UNNAMED,10/01/1969,50
AL241969,JENNY,10/02/1969,40
AL021970,BECKY,07/22/1970,55
AL041983,BARRY,08/25/1983,70
AL111985,ISABEL,10/10/1985,60
AL131985,KATE,11/21/1985,105
AL131987,FLOYD,10/12/1987,65
AL121988,KEITH,11/23/1988,65
AL041992,ANDREW,08/24/1992,150
AL011994,ALBERTO,07/03/1994,55
AL031994,BERYL,08/16/1994,50
AL121994,GORDON,11/21/1994,75
AL011995,ALLISON,06/05/1995,65
AL051995,ERIN,08/03/1995,85
AL111995,JERRY,08/23/1995,35
AL171995,OPAL,10/04/1995,130
AL101996,JOSEPHINE,10/08/1996,60
AL051998,EARL,09/03/1998,85
AL071998,GEORGES,09/25/1998,135
AL131998,MITCH,11/05/1998,155
AL101999,HARVEY,09/21/1999,50
AL131999,IRENE,10/15/1999,95
AL112000,GORDON,09/18/2000,70
AL122000,HELENE,09/22/2000,60
AL032001,BARRY,08/06/2001,60
AL082001,GABRIELLE,09/14/2001,70
AL052002,EDOUARD,09/05/2002,55
AL122003,HENRI,09/06/2003,50
AL022004,BONNIE,08/12/2004,55
AL032004,CHARLEY,08/13/2004,130
AL062004,FRANCES,09/06/2004,125
AL112004,JEANNE,09/26/2004,105
AL042005,DENNIS,07/10/2005,130
AL122005,KATRINA,08/25/2005,150
AL222005,TAMMY,10/05/2005,45
AL252005,WILMA,10/24/2005,160
AL012006,ALBERTO,06/13/2006,60
AL062006,ERNESTO,08/30/2006,65
AL022007,BARRY,06/02/2007,50
AL102007,TEN,09/22/2007,30
AL062008,FAY,08/23/2008,60
AL042009,CLAUDETTE,08/17/2009,50
AL032010,BONNIE,07/23/2010,40
AL022012,BERYL,05/28/2012,60
AL042012,DEBBY,06/26/2012,55
AL012013,ANDREA,06/06/2013,55
AL032016,COLIN,06/07/2016,50
AL092016,HERMINE,09/02/2016,70
AL112016,JULIA,09/13/2016,45
AL062017,EMILY,07/31/2017,50
AL112017,IRMA,09/10/2017,155
AL012018,ALBERTO,05/28/2018,55
AL072018,GORDON,09/03/2018,60
AL142018,MICHAEL,10/10/2018,140
AL192020,SALLY,09/12/2020,95
AL292020,ETA,11/12/2020,130
AL052021,ELSA,07/07/2021,75
AL062021,FRED,08/16/2021,55
AL132021,MINDY,09/09/2021,50
AL092022,IAN,09/28/2022,140
AL172022,NICOLE,11/11/2022,65
AL102023,IDALIA,08/30/2023,115
AL042024,DEBBY,08/05/2024,70
AL092024,HELENE,09/27/2024,120
AL142024,MILTON,10/10/2024,155
